id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)gruyter-10.1515/itit-2016-0057,fulltexts/gruyter/j/itit.2017.59.issue-1/itit-2016-0057/itit-2016-0057.pdf,,National Licences: ethz,gruyter101515itit20160057
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-0920,fulltexts/gruyter/j/cclm.2017.55.issue-8/cclm-2016-0920/cclm-2016-0920.pdf,,National Licences: unibas,gruyter101515cclm20160920
(NATIONALLICENCE)gruyter-10.1515/teme-2017-0012,fulltexts/gruyter/j/teme.2017.84.issue-7-8/teme-2017-0012/teme-2017-0012.pdf,,National Licences: fachhochschulen,gruyter101515teme20170012
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-0586,fulltexts/gruyter/j/cclm.2017.55.issue-4/cclm-2016-0586/cclm-2016-0586.pdf,,National Licences: uzh,gruyter101515cclm20160586
(NATIONALLICENCE)gruyter-10.1515/zaw-2017-0003,fulltexts/gruyter/j/zatw.2017.129.issue-1/zaw-2017-0003/zaw-2017-0003.pdf,,National Licences: uzh,gruyter101515zaw20170003
(NATIONALLICENCE)gruyter-10.1515/islam-2017-0015,fulltexts/gruyter/j/islam.2017.94.issue-1/islam-2017-0015/islam-2017-0015.pdf,,National Licences: uzh,gruyter101515islam20170015
(NATIONALLICENCE)gruyter-10.1515/glot-2017-0015,fulltexts/gruyter/j/glot.2017.8.issue-2/glot-2017-0015/glot-2017-0015.pdf,,National Licences: unibas,gruyter101515glot20170015
(NATIONALLICENCE)gruyter-10.1515/cclm-2016-1159,fulltexts/gruyter/j/cclm.2017.55.issue-7/cclm-2016-1159/cclm-2016-1159.pdf,,National Licences: unibe,gruyter101515cclm20161159
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1144,fulltexts/gruyter/j/hzhz.2017.304.issue-2/hzhz-2017-1144/hzhz-2017-1144.pdf,,National Licences: uzh,gruyter101515hzhz20171144
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1137,fulltexts/gruyter/j/hzhz.2017.304.issue-2/hzhz-2017-1137/hzhz-2017-1137.pdf,,National Licences: unibe,gruyter101515hzhz20171137
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1460,fulltexts/gruyter/j/hzhz.2017.305.issue-3/hzhz-2017-1460/hzhz-2017-1460.pdf,,National Licences: unifr,gruyter101515hzhz20171460
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1407,fulltexts/gruyter/j/hzhz.2017.305.issue-2/hzhz-2017-1407/hzhz-2017-1407.pdf,,National Licences: uzh,gruyter101515hzhz20171407
(NATIONALLICENCE)gruyter-10.1515/ntrev-2016-0081,fulltexts/gruyter/j/ntrev.2017.6.issue-1/ntrev-2016-0081/ntrev-2016-0081.pdf,,National Licences: unibas,gruyter101515ntrev20160081
(NATIONALLICENCE)gruyter-10.1515/ntrev-2016-0062,fulltexts/gruyter/j/ntrev.2017.6.issue-1/ntrev-2016-0062/ntrev-2016-0062.pdf,,National Licences: ethz unibas,gruyter101515ntrev20160062
(NATIONALLICENCE)gruyter-10.1515/hsz-2016-0233,fulltexts/gruyter/j/bchm.2017.398.issue-1/hsz-2016-0233/hsz-2016-0233.pdf,,National Licences: uzh,gruyter101515hsz20160233
(NATIONALLICENCE)gruyter-10.1515/abitech-2017-0030,fulltexts/gruyter/j/abitech.2017.37.issue-2/abitech-2017-0030/abitech-2017-0030.pdf,,National Licences: uzh,gruyter101515abitech20170030
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1207,fulltexts/gruyter/j/hzhz.2017.304.issue-3/hzhz-2017-1207/hzhz-2017-1207.pdf,,National Licences: unil,gruyter101515hzhz20171207
(NATIONALLICENCE)gruyter-10.1515/jiip-2016-0019,fulltexts/gruyter/j/jiip.2017.25.issue-2/jiip-2016-0019/jiip-2016-0019.pdf,,National Licences: unibas unibe fachhochschulen,gruyter101515jiip20160019
(NATIONALLICENCE)gruyter-10.1515/fabula-2017-0032,fulltexts/gruyter/j/fabula.2017.58.issue-3-4/fabula-2017-0032/fabula-2017-0032.pdf,,National Licences: unibe unige,gruyter101515fabula20170032
(NATIONALLICENCE)gruyter-10.1515/hf-2017-0063,fulltexts/gruyter/j/hfsg.2017.71.issue-12/hf-2017-0063/hf-2017-0063.pdf,,National Licences: ethz unibe fachhochschulen,gruyter101515hf20170063
(NATIONALLICENCE)gruyter-10.1515/arb-2016-0065,fulltexts/gruyter/j/arbi.2017.35.issue-1/arb-2016-0065/arb-2016-0065.pdf,,National Licences: unibas,gruyter101515arb20160065
(NATIONALLICENCE)gruyter-10.1515/zpch-2016-0808,fulltexts/gruyter/j/zpch.2017.231.issue-3/zpch-2016-0808/zpch-2016-0808.pdf,,National Licences: epfl unil unine,gruyter101515zpch20160808
(NATIONALLICENCE)gruyter-10.1515/bmt-2016-0052,fulltexts/gruyter/j/bmte.2017.62.issue-2/bmt-2016-0052/bmt-2016-0052.pdf,,National Licences: ethz,gruyter101515bmt20160052
(NATIONALLICENCE)gruyter-10.1515/cclm-2017-0188,fulltexts/gruyter/j/cclm.2017.55.issue-10/cclm-2017-0188/cclm-2017-0188.pdf,,National Licences: uzh,gruyter101515cclm20170188
(NATIONALLICENCE)gruyter-10.1515/glot-2017-0004,fulltexts/gruyter/j/glot.2017.8.issue-1/glot-2017-0004/glot-2017-0004.pdf,,National Licences: unibas,gruyter101515glot20170004
(NATIONALLICENCE)gruyter-10.1515/aot-2017-0050,fulltexts/gruyter/j/aot.2017.6.issue-6/aot-2017-0050/aot-2017-0050.pdf,,National Licences: lib4ri,gruyter101515aot20170050
(NATIONALLICENCE)gruyter-10.1515/ejss-2017-0008,fulltexts/gruyter/j/ejss.2017.47.issue-1/ejss-2017-0008/ejss-2017-0008.pdf,,National Licences: uzh,gruyter101515ejss20170008
(NATIONALLICENCE)gruyter-10.1515/jpm-2016-0099,fulltexts/gruyter/j/jpme.2017.45.issue-3/jpm-2016-0099/jpm-2016-0099.pdf,,National Licences: unibas,gruyter101515jpm20160099
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1122,fulltexts/gruyter/j/hzhz.2017.304.issue-2/hzhz-2017-1122/hzhz-2017-1122.pdf,,National Licences: uzh,gruyter101515hzhz20171122
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1171,fulltexts/gruyter/j/hzhz.2017.304.issue-2/hzhz-2017-1171/hzhz-2017-1171.pdf,,National Licences: uzh,gruyter101515hzhz20171171
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1472,fulltexts/gruyter/j/hzhz.2017.305.issue-3/hzhz-2017-1472/hzhz-2017-1472.pdf,,National Licences: unibas,gruyter101515hzhz20171472
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1382,fulltexts/gruyter/j/hzhz.2017.305.issue-2/hzhz-2017-1382/hzhz-2017-1382.pdf,,National Licences: unifr,gruyter101515hzhz20171382
(NATIONALLICENCE)gruyter-10.1515/crelle-2015-0009,fulltexts/gruyter/j/crelle.2017.2017.issue-728/crelle-2015-0009/crelle-2015-0009.pdf,,National Licences: uzh,gruyter101515crelle20150009
(NATIONALLICENCE)gruyter-10.1515/abitech-2017-0043,fulltexts/gruyter/j/abitech.2017.37.issue-3/abitech-2017-0043/abitech-2017-0043.pdf,,National Licences: ethz,gruyter101515abitech20170043
(NATIONALLICENCE)gruyter-10.1515/hzhz-2017-1330,fulltexts/gruyter/j/hzhz.2017.305.issue-1/hzhz-2017-1330/hzhz-2017-1330.pdf,,National Licences: unifr,gruyter101515hzhz20171330
(NATIONALLICENCE)gruyter-10.1515/kant-2017-0002,fulltexts/gruyter/j/kant.2017.108.issue-1/kant-2017-0002/kant-2017-0002.pdf,,National Licences: ethz,gruyter101515kant20170002
(NATIONALLICENCE)gruyter-10.1515/jpm-2016-0270,fulltexts/gruyter/j/jpme.2017.45.issue-7/jpm-2016-0270/jpm-2016-0270.pdf,,National Licences: unibe,gruyter101515jpm20160270
(NATIONALLICENCE)gruyter-10.1515/jag-2016-0042,fulltexts/gruyter/j/jag.2017.11.issue-2/jag-2016-0042/jag-2016-0042.pdf,,National Licences: ethz,gruyter101515jag20160042
(NATIONALLICENCE)gruyter-10.1515/bmt-2017-5102,fulltexts/gruyter/j/bmte.2017.62.issue-s1/bmt-2017-5102/bmt-2017-5102.pdf,,National Licences: unibe,gruyter101515bmt20175102
(NATIONALLICENCE)gruyter-10.1515/cercles-2017-0010,fulltexts/gruyter/j/cercles.2017.7.issue-2/cercles-2017-0010/cercles-2017-0010.pdf,,National Licences: unibas,gruyter101515cercles20170010
(NATIONALLICENCE)gruyter-10.1515/aofo-2017-0019,fulltexts/gruyter/j/aofo.2017.44.issue-2/aofo-2017-0019/aofo-2017-0019.pdf,,National Licences: unibe,gruyter101515aofo20170019
(NATIONALLICENCE)gruyter-10.1515/jpem-2017-0261,fulltexts/gruyter/j/jpem.2017.30.issue-12/jpem-2017-0261/jpem-2017-0261.pdf,,National Licences: unifr,gruyter101515jpem20170261
(NATIONALLICENCE)gruyter-10.1515/pwp-2017-0012,fulltexts/gruyter/j/pwp.2017.18.issue-2/pwp-2017-0012/pwp-2017-0012.pdf,,National Licences: unisg,gruyter101515pwp20170012
(NATIONALLICENCE)gruyter-10.1515/iasl-2017-0024,fulltexts/gruyter/j/iasl.2017.42.issue-2/iasl-2017-0024/iasl-2017-0024.pdf,,National Licences: uzh,gruyter101515iasl20170024
(NATIONALLICENCE)gruyter-10.1515/asia-2016-0056,fulltexts/gruyter/j/asia.2017.71.issue-1/asia-2016-0056/asia-2016-0056.pdf,,National Licences: unige,gruyter101515asia20160056
