publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
GeoInformatica	1384-6175	1573-7624	01.03.2005	9	1	01.10.2012	16	4	http://link.springer.com/journal/10707		10707		fulltext		Springer US	Serial							
GeoJournal	0343-2521	1572-9893	01.01.1977	1	1	01.12.2012	77	6	http://link.springer.com/journal/10708		10708		fulltext		Springer Netherlands	Serial							
Geochemistry International	0016-7029	1556-1968	01.01.2006	44	1	01.12.2012	50	12	http://link.springer.com/journal/11476		11476		fulltext		Pleiades Publishing	Serial							
Geoheritage	1867-2477	1867-2485	04.03.2009	1	1	01.12.2012	4	4	http://link.springer.com/journal/12371		12371		fulltext		Springer Berlin Heidelberg	Serial							
Geology of Ore Deposits	1075-7015	1555-6476	01.01.2006	48	1	01.12.2012	54	8	http://link.springer.com/journal/11477		11477		fulltext		Pleiades Publishing	Serial							
Geomagnetism and Aeronomy	0016-7932	1555-645X	01.01.2006	46	1	01.12.2012	52	7	http://link.springer.com/journal/11478		11478		fulltext		Pleiades Publishing	Serial							
Geometriae Dedicata	0046-5755	1572-9168	01.11.1972	1	1	01.12.2012	161	1	http://link.springer.com/journal/10711		10711		fulltext		Springer Netherlands	Serial							
Geometric and Functional Analysis	1016-443X	1420-8970	01.03.1991	1	1	01.12.2012	22	6	http://link.springer.com/journal/39		39		fulltext		Springer International Publishing	Serial							
Georgian Mathematical Journal	1072-947X	1572-9176	01.01.1994	1	1	31.12.1996		6	http://link.springer.com/journal/11290		11290		fulltext		Kluwer Academic Publishers-Plenum Publishers	Serial							
Geotechnical and Geological Engineering	0960-3182	1573-1529	01.04.1983	1	1	01.12.2012	30	6	http://link.springer.com/journal/10706		10706		fulltext		Springer International Publishing	Serial							
Geotectonics	0016-8521	1556-1976	01.01.2006	40	1	01.11.2012	46	6	http://link.springer.com/journal/11479		11479		fulltext		Pleiades Publishing	Serial							
Geriatric Nephrology and Urology	0924-8455	1573-7306	01.01.1992	1	1	31.12.1996		3	http://link.springer.com/journal/10715		10715		fulltext		Kluwer Academic Publishers	Serial							
German Journal of Exercise and Sport Research	2509-3142	2509-3150	01.03.2005	35	1	01.12.2012	42	4	http://link.springer.com/journal/12662		12662		fulltext		Springer Berlin Heidelberg	Serial							
GeroScience	2509-2715	2509-2723	01.01.1978	1	1	01.12.2012	34	6	http://link.springer.com/journal/11357		11357		fulltext		Springer International Publishing	Serial							
Gesunde Pflanzen	0367-4223	1439-0345	01.01.2005	57	1	01.12.2012	64	4	http://link.springer.com/journal/10343		10343		fulltext		Springer Berlin Heidelberg	Serial							
Glass Physics and Chemistry	1087-6596	1608-313X	01.01.2005	31	1	01.11.2012	38	6	http://link.springer.com/journal/10720		10720		fulltext		Pleiades Publishing	Serial							
Glass and Ceramics	0361-7610	1573-8515	01.01.1956	13	1	01.11.2012	69	7	http://link.springer.com/journal/10717		10717		fulltext		Springer US	Serial							
Glycoconjugate Journal	0282-0080	1573-4986	01.03.1984	1	1	01.12.2012	29	8	http://link.springer.com/journal/10719		10719		fulltext		Springer US	Serial							
Glycosylation & Disease	0969-3653		01.01.1994	1	1	31.12.1994	1	4	http://link.springer.com/journal/40752		40752		fulltext		Springer Netherlands	Serial							
Graefe's Archive for Clinical and Experimental Ophthalmology	0721-832X	1435-702X	1854-03-01	1	1	01.12.2012	250	12	http://link.springer.com/journal/417		417		fulltext		Springer Berlin Heidelberg	Serial							
Granular Matter	1434-5021	1434-7636	01.04.2005	7	1	01.11.2012	14	6	http://link.springer.com/journal/10035		10035		fulltext		Springer Berlin Heidelberg	Serial							
Graphs and Combinatorics	0911-0119	1435-5914	01.12.1985	1	1	01.11.2012	28	6	http://link.springer.com/journal/373		373		fulltext		Springer Japan	Serial							
Group Decision and Negotiation	0926-2644	1572-9907	01.04.1992	1	1	01.11.2012	21	6	http://link.springer.com/journal/10726		10726		fulltext		Springer Netherlands	Serial							
Grundwasser	1430-483X	1432-1165	01.03.2005	10	1	01.12.2012	17	4	http://link.springer.com/journal/767		767		fulltext		Springer Berlin Heidelberg	Serial							
Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO)	2366-6145	2366-6218	01.03.2005	36	1	01.12.2012	43	4	http://link.springer.com/journal/11612		11612		fulltext		Springer Fachmedien Wiesbaden	Serial							
Gynecological Surgery	1613-2076	1613-2084	01.04.2005	2	1	01.11.2011	8	4	http://link.springer.com/journal/10397		10397		fulltext		Springer Berlin Heidelberg	Serial							
Gynäkologische Endokrinologie	1610-2894	1610-2908	01.02.2005	3	1	01.11.2012	10	4	http://link.springer.com/journal/10304		10304		fulltext		Springer Medizin	Serial							
HEC Forum	0956-2737	1572-8498	01.01.1989	1	1	01.12.2012	24	4	http://link.springer.com/journal/10730		10730		fulltext		Springer Netherlands	Serial							
HMD Praxis der Wirtschaftsinformatik	1436-3011	2198-2775	01.02.2007	44	1	01.12.2012	49	6	http://link.springer.com/journal/40702		40702		fulltext		Springer Fachmedien Wiesbaden	Serial							
HNO	0017-6192	1433-0458	01.01.2005	53	1	01.12.2012	60	12	http://link.springer.com/journal/106		106		fulltext		Springer Medizin	Serial							
HNO Nachrichten	0177-1000	2198-6533	01.12.2009	39	6	01.12.2012	42	6	http://link.springer.com/journal/60		60		fulltext		Springer Medizin	Serial							
HSS Journal ®	1556-3316	1556-3324	01.09.2005	1	1	01.10.2012	8	3	http://link.springer.com/journal/11420		11420		fulltext		Springer US	Serial							
Health Care Analysis	1065-3058	1573-3394	01.06.1993	1	1	01.12.2012	20	4	http://link.springer.com/journal/10728		10728		fulltext		Springer US	Serial							
Health Care Management Science	1386-9620	1572-9389	01.02.2005	8	1	01.12.2012	15	4	http://link.springer.com/journal/10729		10729		fulltext		Springer US	Serial							
