publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	2025-01-01	107	1	2023-12-31	105	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								F
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2023-12-31	69	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1904-06-15	1	1	2023-12-31	114	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext	active, ongoing publication (Partner Title)	Gütersloher Verlagshaus	serial								P
Archiv für Reformationsgeschichte / Literaturberichte - Archive for Reformation History / Literature Review	0341-8375	2198-0497	1972-06-15	1	1	2019-11-20	48	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2198-0497		2198-0497		fulltext	discontinued, perpetual access	Gütersloher Verlagshaus	serial								P
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2023-12-31	25	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	yearbook								P
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2023-12-31	33	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								P
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2023-12-31	14	3	https://www.degruyterbrill.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2023-12-31	17	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2023-12-31	77	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								P
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2025-01-01	79	1	2023-12-31	77	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								F
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2023-12-31	71	9	https://www.degruyterbrill.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext	active, ongoing publication (Hybrid)	De Gruyter (O)	serial								P
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1	2023-12-31	18	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2023-12-31	145	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter	serial								P
Bibliotheksdienst	0006-1972	2194-9646	1967-04-01	1	1	2014-01-15	48	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Saur	serial								P
Bibliotheksdienst	0006-1972	2194-9646	2014-02-06	48	2	2023-12-31	57	9	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Saur	serial								F
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012-06-20	8	1	2022-12-20	18	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext	discontinued, perpetual access	De Gruyter	serial								P
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003-11-01	5	Nov	2013-03-15	9	1-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext	discontinued, perpetual access	De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2023-12-31	404	8-9	https://www.degruyterbrill.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	2025-01-01	406	1-2	2023-12-31	404	8-9	https://www.degruyterbrill.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								F
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956-01-01	1	1	2023-12-31	68	s2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								P
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	2025-01-01	70	1	2023-12-31	68	s2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								F
Biomolecular Concepts	1868-5021	1868-503X	2010-05-26	1	1	2023-12-31	14	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2023-12-31	66	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter	serial								P
Business and Politics	1369-5258	1469-3569	1999-12-10	1	1	2016-12-20	18	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1469-3569		1469-3569		fulltext	deleted	De Gruyter	serial								P
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2023-12-31	116	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2023-12-31	12	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2023-12-31	18	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1	2023-12-31	23	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext	active, ongoing publication (Read Only)	De Gruyter	serial								P
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1	2023-12-31	12	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext	active, ongoing publication (Hybrid)	De Gruyter Mouton	serial								P
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1	2023-12-31	46	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext	active, ongoing publication (Hybrid)	De Gruyter Mouton	serial								P
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1	2023-12-31	19	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext	active, ongoing publication (Sponsored)	De Gruyter Mouton	serial								F
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963-01-01	1	1	2023-12-31	61	s1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Cognitive Linguistics	0936-5907	1613-3641	1990-03-10	1	1	2023-12-31	33	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Mouton	serial								P
Cognitive Linguistics	0936-5907	1613-3641	2024-01-01	34	1	2023-12-31	34	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Mouton	serial								F
Communications	0341-2059	1613-4087	1976-01-01	2	1	2023-12-31	48	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext	active, ongoing publication (Hybrid)	De Gruyter Mouton	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2023-12-31	23	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Computer Law Review International	1610-7608	2194-4164	2005-02-15	6	1	2023-12-31	24	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext	active, ongoing publication (Partner Title)	Verlag Dr. Otto Schmidt	serial								P
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1	2023-12-31	39	9	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext	active, ongoing publication (Partner Title)	Verlag Dr. Otto Schmidt	serial								P
Conceptus	0010-5155	2196-9523	2008-06-27	37	92	2016-11-20	45	107-108	https://www.degruyterbrill.com/openurl?genre=journal&issn=2196-9523		2196-9523		fulltext	discontinued, perpetual access	De Gruyter	serial								P
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1	2023-12-31	19	3	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Mouton	serial								P
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2025-01-01	21	1	2023-12-31	19	3	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Mouton	serial								F
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	3-2	2023-12-31	41	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2020-11-20	25	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext	discontinued, perpetual access	Akademie Verlag	serial								P
Der Islam	0021-1818	1613-0928	1910-01-01	1	1	2023-12-31	100	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953-02-15	1	1	2023-12-31	71	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter (A)	serial								P
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991-01-01	1	1	2023-12-31	33	12	https://www.degruyterbrill.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1949-12-01	28	1	2023-12-31	98	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext	active, ongoing publication (Hybrid)	De Gruyter	yearbook								P
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993-01-01	1993	Jan	2023-12-31	31	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext	active, ongoing publication (Hybrid)	De Gruyter Mouton	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2023-12-31	33	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2023-12-31	38	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter	serial								P
editio	0931-3079	1865-9446	1988-01-01	2	2	2023-12-31	37	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext	active, ongoing publication (Hybrid)	De Gruyter	yearbook								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2023-12-31	10	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
English and American Studies in German	0071-0490	1865-8946	1969-01-01		1969	2019-11-15	0	2019	https://www.degruyterbrill.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext	discontinued, perpetual access	De Gruyter	yearbook								P
Entrepreneurship Research Journal	2194-6175	2157-5665	2011-01-01	1	1	2023-12-31	13	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter	serial								P
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2023-12-31	12	s1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
e-Polymers	2197-4586	1618-7229				2023-12-31	23	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
e-Polymers 	2197-4586	1618-7229	2001-06-20	1	1	2023-12-31	23	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2023-12-31	26	1-2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1	2023-12-31	20	5-6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1	2023-12-31	11	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Mouton	serial								P
European Journal of Applied Linguistics	2192-9521	2192-953X	2025-01-01	13	1	2023-12-31	11	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter Mouton	serial								F
European Journal of Nanomedicine	1662-5986	1662-596X	2008-06-20	1	1	2017-07-15	9	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1662-596X		1662-596X		fulltext	discontinued, perpetual access	De Gruyter	serial								P
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010	2023-12-31	53	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								P
European Journal of Scandinavian Studies	2191-9399	2191-9402	2025-01-01	55	1	2023-12-31	53	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext	active, ongoing publication (S2O, CC BY 4.0)	De Gruyter	serial								F
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1	2023-12-31	12	2-3	https://www.degruyterbrill.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
European Review of Contract Law	1614-9920	1614-9939	2005-05-20	1	1	2023-12-31	19	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009	2021-12-20	0	11	https://www.degruyterbrill.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext	discontinued, perpetual access	De Gruyter	yearbook								P
Evangelische Theologie	0014-3502	2198-0470	1934-04-16	1	2	2023-12-31	83	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext	active, ongoing publication (Partner Title)	Gütersloher Verlagshaus	serial								P
Fabula	0014-6242	1613-0464	1958-01-01	1	1	2023-12-31	64	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1	2023-12-31	105	9	https://www.degruyterbrill.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext	active, ongoing publication (Partner Title)	Verlag Dr. Otto Schmidt	serial								P
Folia Linguistica	0165-4004	1614-7308	1967-01-01	1	3-4	2023-12-31	57	s44-s1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter Mouton	serial								P
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1	2023-12-31	26	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
FORUM für osteuropäische Zeit- und Ideengeschichte	1433-4887	2194-3672	1997-06-30	1	1	2013-12-30	17	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-3672		2194-3672		fulltext	deleted	Böhlau Verlag	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2023-12-31	35	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2023-12-31	77	9-10	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Frühmittelalterliche Studien	0071-9706	1613-0812	1967-01-01	1	1967	2021-12-31	55	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext	active, ongoing publication (S2O, CC BY-NC-ND 4.0)	De Gruyter	yearbook								P
Frühmittelalterliche Studien	0071-9706	1613-0812	2022-01-01	56	1	2023-12-31	57	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext	active, ongoing publication (S2O, CC BY-NC-ND 4.0)	De Gruyter	yearbook								F
George-Jahrbuch	1430-2519	1865-8881	2009-12-20		7 (2008/09)	2013-11-20	0	10 (2014/15)	https://www.degruyterbrill.com/openurl?genre=journal&issn=1865-8881		1865-8881		fulltext	discontinued, perpetual access	De Gruyter	yearbook								P
Georgian Mathematical Journal	1072-947X	1572-9176	1994-02-01	1	1	2023-12-31	30	6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Germanistik	0016-8912	1865-9187	2007-12-01	48	1-2	2023-12-31	64	3-4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext	active, ongoing publication (Read Only)	De Gruyter	serial								P
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1	2023-12-31	22	9	https://www.degruyterbrill.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext	active, ongoing publication (Partner Title)	Verlag Dr. Otto Schmidt	serial								P
Global Economy Journal	2194-5659	1553-5304	2000-03-01	1	1	2018-12-30	18	4	https://www.degruyterbrill.com/openurl?genre=journal&issn=1553-5304		1553-5304		fulltext	discontinued, perpetual access	De Gruyter	serial								P
Global Jurist	2194-5675	1934-2640	2001-11-01	1	1	2023-12-31	23	3	https://www.degruyterbrill.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext	active, ongoing publication (Hybrid)	De Gruyter	serial								P
Glottotheory 	1337-7892	2196-6907	2008-07-20	1	1	2023-12-31	14	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=2196-6907		2196-6907		fulltext	active, ongoing publication (Hybrid, CC BY 4.0)	De Gruyter (A)	serial								P
Green	1869-876X	1869-8778	2011-02-20	1	1	2015-04-20	5	1-6	https://www.degruyterbrill.com/openurl?genre=journal&issn=1869-8778		1869-8778		fulltext	discontinued, perpetual access	De Gruyter	serial								P
Green Processing and Synthesis	2191-9542	2191-9550	2012-02-20	1	1	2023-12-31	12	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-9550		2191-9550		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
Groups Complexity Cryptology	1867-1144	1869-6104	2009-05-01	1	April	2019-11-20	11	2	https://www.degruyterbrill.com/openurl?genre=journal&issn=1869-6104		1869-6104		fulltext	discontinued, perpetual access	De Gruyter	serial								P
Hegel-Jahrbuch	0073-1579	2192-5550	1999-06-15		1999	2018-06-15	0	2018	https://www.degruyterbrill.com/openurl?genre=journal&issn=2192-5550		2192-5550		fulltext	discontinued, perpetual access	Akademie Verlag	yearbook								P
Helia	1018-1806	2197-0483	2000-06-20	23	33	2023-12-20	46	79	https://www.degruyterbrill.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext	discontinued, perpetual access	De Gruyter	serial								P
Heterocyclic Communications	0793-0283	2191-0197	1994-01-01	1	Febr	2023-12-31	29	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-0197		2191-0197		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
High Temperature Materials and Processes	0334-6455	2191-0324	1984-01-01	6	1-2	2023-12-31	42	1	https://www.degruyterbrill.com/openurl?genre=journal&issn=2191-0324		2191-0324		fulltext	active, ongoing publication (APC, CC BY 4.0)	De Gruyter	serial								F
Historische Zeitschrift	0018-2613	2196-680X	1859-06-20	1-2	1	2023-12-31	317	3	https://www.degruyterbrill.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext	active, ongoing publication (S2O, CC BY-NC-ND 4.0)	De Gruyter Oldenbourg	serial								P
