publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Angiogenesis	0969-6970	1573-7209	2005	8	1	2015			http://link.springer.com/journal/10456		10456		fulltext		Springer Netherlands	Serial							
Animal Cognition	1435-9448	1435-9456	2005	8	1	2015			http://link.springer.com/journal/10071		10071		fulltext		Springer Berlin Heidelberg	Serial							
Annalen der Philosophie	0165-0106	1866-6167	1919	1	1	1921	3	1	http://link.springer.com/journal/12377		12377		fulltext		Springer-Verlag	Serial							
Annalen der Philosophie und philosophischen Kritik	1866-6175	1866-6175	1924	4	1	1929	8	1	http://link.springer.com/journal/12375		12375		fulltext		Springer-Verlag	Serial							
Annales Henri Poincaré	1424-0637	1424-0661	2005	6	1	2015			http://link.springer.com/journal/23		23		fulltext		Springer International Publishing	Serial							
Annali di Matematica Pura ed Applicata (1858-1865)		0373-3114	1858	1	1	1865	7	1	http://link.springer.com/journal/40768		40768		fulltext		Springer Berlin Heidelberg	Serial							
Annali di Matematica Pura ed Applicata (1867-1897)		0373-3114	1867	1	1	1897	26	1	http://link.springer.com/journal/40769		40769		fulltext		Springer Berlin Heidelberg	Serial							
Annali di Matematica Pura ed Applicata (1898-1922)		0373-3114	1898	1	1	1922	31	1	http://link.springer.com/journal/40770		40770		fulltext		Springer Berlin Heidelberg	Serial							
Annali di Matematica Pura ed Applicata (1923 -)	0373-3114	1618-1891	1924	1	1	2015			http://link.springer.com/journal/10231		10231		fulltext		Springer Berlin Heidelberg	Serial							
Annals of Behavioral Medicine	0883-6612	1532-4796	2005	29	1	2012	44	3	http://link.springer.com/journal/12160		12160		fulltext		Springer US	Serial							
Annals of Biomedical Engineering	0090-6964	1573-9686	1972	1	1	2015			http://link.springer.com/journal/10439		10439		fulltext		Springer US	Serial							
Annals of Combinatorics	0218-0006	0219-3094	2005	8	4	2015			http://link.springer.com/journal/26		26		fulltext		Springer International Publishing	Serial							
Annals of Dyslexia	0736-9387	1934-7243	1955	5	1	2015			http://link.springer.com/journal/11881		11881		fulltext		Springer US	Serial							
Annals of Finance	1614-2446	1614-2454	2005	1	1	2015			http://link.springer.com/journal/10436		10436		fulltext		Springer Berlin Heidelberg	Serial							
Annals of Forest Science	1286-4560	1297-966X	2007	64	5	2015			http://link.springer.com/journal/13595		13595		fulltext		Springer Paris	Serial							
Annals of Global Analysis and Geometry	0232-704X	1572-9060	1983	1	1	2015			http://link.springer.com/journal/10455		10455		fulltext		Springer Netherlands	Serial							
Annals of Hematology	0939-5555	1432-0584	1955	1	1	2015			http://link.springer.com/journal/277		277		fulltext		Springer Berlin Heidelberg	Serial							
Annals of Mathematics and Artificial Intelligence	1012-2443	1573-7470	1990	2	1	2015			http://link.springer.com/journal/10472		10472		fulltext		Springer International Publishing	Serial							
Annals of Nuclear Medicine	0914-7187	1864-6433	1987	1	1	2015			http://link.springer.com/journal/12149		12149		fulltext		Springer Japan	Serial							
Annals of Operations Research	0254-5330	1572-9338	1984	1	1	2015			http://link.springer.com/journal/10479		10479		fulltext		Springer US	Serial							
Annals of Software Engineering	1022-7091	1573-7489	1995	1	1	1996		1	http://link.springer.com/journal/10480		10480		fulltext		Kluwer Academic Publishers	Serial							
Annals of Surgical Oncology	1068-9265	1534-4681	1994	1	1	2015			http://link.springer.com/journal/10434		10434		fulltext		Springer International Publishing	Serial							
Annals of Telecommunications	0003-4347	1958-9395	1946	1	1	2015			http://link.springer.com/journal/12243		12243		fulltext		Springer Paris	Serial							
Annals of the Institute of Statistical Mathematics	0020-3157	1572-9052	1949	1	1	2015			http://link.springer.com/journal/10463		10463		fulltext		Springer Japan	Serial							
Antonie van Leeuwenhoek	0003-6072	1572-9699	1934	1	1	2015			http://link.springer.com/journal/10482		10482		fulltext		Springer International Publishing	Serial							
Apidologie	0044-8435	1297-9678	2007	38	1	2015			http://link.springer.com/journal/13592		13592		fulltext		Springer Paris	Serial							
Apoptosis	1360-8185	1573-675X	1996	1	1	2015			http://link.springer.com/journal/10495		10495		fulltext		Springer US	Serial							
Applicable Algebra in Engineering, Communication and Computing	0938-1279	1432-0622	1990	1	1	2015			http://link.springer.com/journal/200		200		fulltext		Springer Berlin Heidelberg	Serial							
Applications of Mathematics	0862-7940	1572-9109	2005	50	1	2015			http://link.springer.com/journal/10492		10492		fulltext		Springer Berlin Heidelberg	Serial							
Applied Biochemistry and Biotechnology	0273-2289	1559-0291	1976	1	1	2015			http://link.springer.com/journal/12010		12010		fulltext		Springer US	Serial							
Applied Categorical Structures	0927-2852	1572-9095	1993	1	1	2015			http://link.springer.com/journal/10485		10485		fulltext		Springer Netherlands	Serial							
Applied Composite Materials	0929-189X	1573-4897	1994	1	1	2015			http://link.springer.com/journal/10443		10443		fulltext		Springer Netherlands	Serial							
Applied Entomology and Zoology	0003-6862	1347-605X	2011	46	1	2015			http://link.springer.com/journal/13355		13355		fulltext		Springer Japan	Serial							
Applied Intelligence	0924-669X	1573-7497	1991	1	1	2015			http://link.springer.com/journal/10489		10489		fulltext		Springer US	Serial							
Applied Magnetic Resonance	0937-9347	1613-7507	1990	1	1	2015			http://link.springer.com/journal/723		723		fulltext		Springer Vienna	Serial							
Applied Mathematics & Optimization	0095-4616	1432-0606	1974	1	1	2015			http://link.springer.com/journal/245		245		fulltext		Springer US	Serial							
Applied Mathematics and Mechanics	0253-4827	1573-2754	1980	1	1	2015			http://link.springer.com/journal/10483		10483		fulltext		Shanghai University	Serial							
Applied Microbiology and Biotechnology	0175-7598	1432-0614	1975	2	1	2015			http://link.springer.com/journal/253		253		fulltext		Springer Berlin Heidelberg	Serial							
Applied Physics A	0947-8396	1432-0630	1973	1	1	2015			http://link.springer.com/journal/339		339		fulltext		Springer Berlin Heidelberg	Serial							
Applied Physics B	0946-2171	1432-0649	1981	26	1	2015			http://link.springer.com/journal/340		340		fulltext		Springer Berlin Heidelberg	Serial							
Applied Psychophysiology and Biofeedback	1090-0586	1573-3270	1976	1	1	2015			http://link.springer.com/journal/10484		10484		fulltext		Springer US	Serial							
Applied Research in Quality of Life	1871-2584	1871-2576	2006	1	1	2015			http://link.springer.com/journal/11482		11482		fulltext		Springer Netherlands	Serial							
Applied Scientific Research, Section B	0365-7140		1950	1	1	1965	12	5	http://link.springer.com/journal/12380		12380		fulltext		Springer Netherlands	Serial							
Applied Spatial Analysis and Policy	1874-463X	1874-4621	2008	1	1	2015			http://link.springer.com/journal/12061		12061		fulltext		Springer Netherlands	Serial							
Aquaculture International	0967-6120	1573-143X	1993	1	1	2015			http://link.springer.com/journal/10499		10499		fulltext		Springer International Publishing	Serial							
Aquatic Ecology	1386-2588	1573-5125	1968	2	2	2015			http://link.springer.com/journal/10452		10452		fulltext		Springer Netherlands	Serial							
Aquatic Geochemistry	1380-6165	1573-1421	1995	1	1	2015			http://link.springer.com/journal/10498		10498		fulltext		Springer Netherlands	Serial							
Aquatic Sciences	1015-1621	1420-9055	1920	1	1	2015			http://link.springer.com/journal/27		27		fulltext		Springer International Publishing	Serial							
Archiv der Mathematik	0003-889X	1420-8938	1948	1	1	2015			http://link.springer.com/journal/13		13		fulltext		Springer International Publishing	Serial							
Archiv für mikroskopische Anatomie	0176-7364		1865	1	1	1923	97	4	http://link.springer.com/journal/12361		12361		fulltext		Springer-Verlag	Serial							
Archival Science	1389-0166	1573-7519	2005	5	1	2015			http://link.springer.com/journal/10502		10502		fulltext		Springer Netherlands	Serial							
Archive for History of Exact Sciences	0003-9519	1432-0657	1960	1	1	2015			http://link.springer.com/journal/407		407		fulltext		Springer Berlin Heidelberg	Serial							
Archive for Mathematical Logic	0933-5846	1432-0665	1950	1	1	2015			http://link.springer.com/journal/153		153		fulltext		Springer Berlin Heidelberg	Serial							
Archive for Rational Mechanics and Analysis	0003-9527	1432-0673	1957	1	1	2015			http://link.springer.com/journal/205		205		fulltext		Springer Berlin Heidelberg	Serial							
Archive of Applied Mechanics	0939-1533	1432-0681	1929	1	1	2015			http://link.springer.com/journal/419		419		fulltext		Springer Berlin Heidelberg	Serial							
Archives and Museum Informatics	1042-1467	1573-7500	1987	1	1	1996	10	4	http://link.springer.com/journal/10505		10505		fulltext		Kluwer Academic Publishers	Serial							
Archives of Computational Methods in Engineering	1134-3060	1886-1784	1994	1	1	2004	11	4	http://link.springer.com/journal/11831		11831		fulltext		Springer Netherlands	Serial							
Archives of Dermatological Research	0340-3696	1432-069X	1869	1	1	2015			http://link.springer.com/journal/403		403		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Environmental Contamination and Toxicology	0090-4341	1432-0703	1973	1	1	2015			http://link.springer.com/journal/244		244		fulltext		Springer US	Serial							
Archives of Gynecology and Obstetrics	0932-0067	1432-0711	1870	1	1	2015			http://link.springer.com/journal/404		404		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Microbiology	0302-8933	1432-072X	1930	1	1	2015			http://link.springer.com/journal/203		203		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Orthopaedic and Trauma Surgery	0936-8051	1434-3916	1903	1	1	2015			http://link.springer.com/journal/402		402		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Osteoporosis	1862-3522	1862-3514	2006	1	1	2015			http://link.springer.com/journal/11657		11657		fulltext		Springer London	Serial							
Archives of Pharmacal Research	0253-6269	1976-3786	1978	1	1	2004	27	12	http://link.springer.com/journal/12272		12272		fulltext		Pharmaceutical Society of Korea	Serial							
Archives of Sexual Behavior	0004-0002	1573-2800	1971	1	1	2015			http://link.springer.com/journal/10508		10508		fulltext		Springer US	Serial							
Archives of Toxicology	0340-5761	1432-0738	1930	1	1	2015			http://link.springer.com/journal/204		204		fulltext		Springer Berlin Heidelberg	Serial							
Archives of Virology	0304-8608	1432-8798	1939	1	1	2015			http://link.springer.com/journal/705		705		fulltext		Springer Vienna	Serial							
Archives of Women's Mental Health	1434-1816	1435-1102	2005	8	1	2015			http://link.springer.com/journal/737		737		fulltext		Springer Vienna	Serial							
Archivum Immunologiae et Therapiae Experimentalis	0004-069X	1661-4917	1978	3	2	2015			http://link.springer.com/journal/5		5		fulltext		Springer International Publishing	Serial							
Argumentation	0920-427X	1572-8374	1987	1	1	2015			http://link.springer.com/journal/10503		10503		fulltext		Springer Netherlands	Serial							
Arkiv för Matematik	0004-2080	1871-2487	1949	1	1	2011	49	2	http://link.springer.com/journal/11512		11512		fulltext		Springer Netherlands	Serial							
Arthropod-Plant Interactions	1872-8855	1872-8847	2007	1	1	2015			http://link.springer.com/journal/11829		11829		fulltext		Springer Netherlands	Serial							
Arthroskopie	0933-7946	1434-3924	2005	18	1	2015			http://link.springer.com/journal/142		142		fulltext		Springer Medizin	Serial							
Artificial Intelligence Review	0269-2821	1573-7462	1986	1	1	2015			http://link.springer.com/journal/10462		10462		fulltext		Springer Netherlands	Serial							
Artificial Intelligence and Law	0924-8463	1572-8382	1992	1	1	2015			http://link.springer.com/journal/10506		10506		fulltext		Springer Netherlands	Serial							
Artificial Life and Robotics	1433-5298	1614-7456	2005	9	1	2015			http://link.springer.com/journal/10015		10015		fulltext		Springer Japan	Serial							
Asia Europe Journal	1610-2932	1612-1031	2005	3	1	2015			http://link.springer.com/journal/10308		10308		fulltext		Springer Berlin Heidelberg	Serial							
Asia Pacific Journal of Management	0217-4561	1572-9958	1983	1	1	2015			http://link.springer.com/journal/10490		10490		fulltext		Springer US	Serial							
Asia-Pacific Financial Markets	1387-2834	1573-6946	1994	1	1	2015			http://link.springer.com/journal/10690		10690		fulltext		Springer Japan	Serial							
Asia-Pacific Journal of Atmospheric Sciences	1976-7633	1976-7951	2010	46	1	2015			http://link.springer.com/journal/13143		13143		fulltext		Korean Meteorological Society	Serial							
Asian Journal of Criminology	1871-0131	1871-014X	2006	1	1	2015			http://link.springer.com/journal/11417		11417		fulltext		Springer Netherlands	Serial							
Astronomy Letters	1063-7737	1562-6873	2005	31	1	2015			http://link.springer.com/journal/11443		11443		fulltext		Pleiades Publishing	Serial							
Astronomy Reports	1063-7729	1562-6881	2005	49	1	2015			http://link.springer.com/journal/11444		11444		fulltext		Pleiades Publishing	Serial							
Astrophysics	0571-7256	1573-8191	1965	1	1	2015			http://link.springer.com/journal/10511		10511		fulltext		Springer US	Serial							
Astrophysics and Space Science	0004-640X	1572-946X	1968	1	1	2015			http://link.springer.com/journal/10509		10509		fulltext		Springer Netherlands	Serial							
Atlantic Economic Journal	0197-4254	1573-9678	1973	1	1	2015			http://link.springer.com/journal/11293		11293		fulltext		Springer US	Serial							
Atomic Energy	1063-4258	1573-8205	1956	1	1	2015			http://link.springer.com/journal/10512		10512		fulltext		Springer US	Serial							
Attention, Perception, & Psychophysics	1943-3921	1943-393X	2005	67	1	2015			http://link.springer.com/journal/13414		13414		fulltext		Springer US	Serial							
Australasian Physical & Engineering Sciences in Medicine	0158-9938	1879-5447	2005	28	1	2015			http://link.springer.com/journal/13246		13246		fulltext		Springer Netherlands	Serial							
Australasian Plant Pathology	0815-3191	1448-6032	1978	7	2	2004	33	4	http://link.springer.com/journal/13313		13313		fulltext		Springer Netherlands	Serial							
APPS newsletter	0310-1266		1972	1	1	1978	7	1	http://link.springer.com/journal/13313		13313		fulltext		Springer Netherlands	Serial							
Automated Software Engineering	0928-8910	1573-7535	1994	1	1	2015			http://link.springer.com/journal/10515		10515		fulltext		Springer US	Serial							
Autonomous Agents and Multi-Agent Systems	1387-2532	1573-7454	2005	10	1	2015			http://link.springer.com/journal/10458		10458		fulltext		Springer US	Serial							
Autonomous Robots	0929-5593	1573-7527	1994	1	1	2015			http://link.springer.com/journal/10514		10514		fulltext		Springer US	Serial							
Axiomathes	1122-1151	1572-8390	1993	4	1	2015			http://link.springer.com/journal/10516		10516		fulltext		Springer Netherlands	Serial							
BHM Berg- und Hüttenmännische Monatshefte	0005-8912	1613-7531	2005	150	1	2015			http://link.springer.com/journal/501		501		fulltext		Springer Vienna	Serial							
BIOspektrum	0947-0867	1868-6249	2011	17	1	2015			http://link.springer.com/journal/12268		12268		fulltext		Springer Berlin Heidelberg	Serial							
BIT Numerical Mathematics	0006-3835	1572-9125	1961	1	1	2015			http://link.springer.com/journal/10543		10543		fulltext		Springer Netherlands	Serial							
Basic Research in Cardiology	0300-8428	1435-1803	1937	1	1	2015			http://link.springer.com/journal/395		395		fulltext		Springer Berlin Heidelberg	Serial							
Behavior Genetics	0001-8244	1573-3297	1970	1	1	2015			http://link.springer.com/journal/10519		10519		fulltext		Springer US	Serial							
Behavior Research Methods		1554-3528	2005	37	1	2015			http://link.springer.com/journal/13428		13428		fulltext		Springer US	Serial							
Behavioral Ecology and Sociobiology	0340-5443	1432-0762	1976	1	1	2015			http://link.springer.com/journal/265		265		fulltext		Springer Berlin Heidelberg	Serial							
Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry	0138-4821	2191-0383	2011	52	1	2015			http://link.springer.com/journal/13366		13366		fulltext		Springer Berlin Heidelberg	Serial							
Berliner Journal für Soziologie	0863-1808	1862-2593	2005	15	1	2015			http://link.springer.com/journal/11609		11609		fulltext		Springer Fachmedien Wiesbaden	Serial							
BioChip Journal	1976-0280	2092-7843	2010	4	1	2015			http://link.springer.com/journal/13206		13206		fulltext		The Korean BioChip Society (KBCS)	Serial							
BioControl	1386-6141	1573-8248	1956	1	1	2015			http://link.springer.com/journal/10526		10526		fulltext		Springer Netherlands	Serial							
BioEnergy Research	1939-1234	1939-1242	2008	1	1	2015			http://link.springer.com/journal/12155		12155		fulltext		Springer US	Serial							
BioMetals	0966-0844	1572-8773	1988	1	1	2015			http://link.springer.com/journal/10534		10534		fulltext		Springer Netherlands	Serial							
Biochemical Genetics	0006-2928	1573-4927	1967	1	1	2015			http://link.springer.com/journal/10528		10528		fulltext		Springer US	Serial							
Biochemistry (Moscow)	0006-2979	1608-3040	2005	70	1	2015			http://link.springer.com/journal/10541		10541		fulltext		Pleiades Publishing	Serial							
Biochemistry (Moscow), Supplement Series A: Membrane and Cell Biology	1990-7478	1990-7494	2007	1	1	2015			http://link.springer.com/journal/11827		11827		fulltext		Pleiades Publishing	Serial							
Biochemistry (Moscow), Supplement Series B: Biomedical Chemistry	1990-7508	1990-7516	2007	1	1	2015			http://link.springer.com/journal/11828		11828		fulltext		Pleiades Publishing	Serial							
Biodegradation	0923-9820	1572-9729	1990	1	1	2015			http://link.springer.com/journal/10532		10532		fulltext		Springer Netherlands	Serial							
Biodiversity and Conservation	0960-3115	1572-9710	1992	1	1	2015			http://link.springer.com/journal/10531		10531		fulltext		Springer Netherlands	Serial							
Biogeochemistry	0168-2563	1573-515X	1984	1	1	2015			http://link.springer.com/journal/10533		10533		fulltext		Springer International Publishing	Serial							
Biogerontology	1389-5729	1573-6768	2005	6	1	2015			http://link.springer.com/journal/10522		10522		fulltext		Springer Netherlands	Serial							
Biologia Plantarum	0006-3134	1573-8264	1959	1	1	2013			http://link.springer.com/journal/10535		10535		fulltext		Springer Netherlands	Serial							
Biological Cybernetics	0340-1200	1432-0770	1961	1	1	2015			http://link.springer.com/journal/422		422		fulltext		Springer Berlin Heidelberg	Serial							
Biological Invasions	1387-3547	1573-1464	2005	7	1	2015			http://link.springer.com/journal/10530		10530		fulltext		Springer International Publishing	Serial							
