id (035a which stats with (NATIONALLICENCE)),path to fulltext,end of embargo (YYYY-MM-DD),Institutions,id for SRU (no special characters)
(NATIONALLICENCE)cambridge-10.1079/BJN19800091,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114580000360.pdf,,National Licences: unil,cambridge101079BJN19800091
(NATIONALLICENCE)gruyter-10.1524/zpch.1997.201.Part_1_2.151,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/zpch.1997.201.issue-part_1_2/zpch.1997.201.part_1_2.151/zpch.1997.201.part_1_2.151.pdf,,National Licences: unibe,gruyter101524zpch1997201Part_1_2151
(NATIONALLICENCE)gruyter-10.1524/ract.1997.79.2.99,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/ract.1997.79.issue-2/ract.1997.79.2.99/ract.1997.79.2.99.pdf,,National Licences: lib4ri uzh,gruyter101524ract199779299
(NATIONALLICENCE)gruyter-10.1515/bc.2010.052,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bchm.2010.391.issue-5/bc.2010.052/bc.2010.052.pdf,,National Licences: uzh,gruyter101515bc2010052
(NATIONALLICENCE)gruyter-10.2202/1935-6226.1006,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/wps.2006.2.1/wps.2006.2.1.1006/wps.2006.2.1.1006.pdf,,National Licences: unibe,gruyter102202193562261006
(NATIONALLICENCE)gruyter-10.1515/LINGTY.2006.013,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/lity.2006.10.issue-3/lingty.2006.013/lingty.2006.013.pdf,,National Licences: uzh,gruyter101515LINGTY2006013
(NATIONALLICENCE)gruyter-10.1524/ract.1990.50.12.11,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/ract.1990.50.issue-1-2/ract.1990.50.12.11/ract.1990.50.12.11.pdf,,National Licences: ethz,gruyter101524ract1990501211
(NATIONALLICENCE)gruyter-10.1515/mult.2010.015,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/mult.2010.29.issue-3-4/mult.2010.015/mult.2010.015.pdf,,National Licences: unibe,gruyter101515mult2010015
(NATIONALLICENCE)gruyter-10.1515/flin.40.1-2.135,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/flin.2006.40.issue-1-2/flin.40.1-2.135/flin.40.1-2.135.pdf,,National Licences: uzh,gruyter101515flin4012135
(NATIONALLICENCE)gruyter-10.1515/jls-2014-0009,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/jlse.2014.43.issue-2/jls-2014-0009/jls-2014-0009.pdf,,National Licences: uzh,gruyter101515jls20140009
(NATIONALLICENCE)gruyter-10.1515/zstw-2014-0009,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/zstw.2014.126.issue-1/zstw-2014-0009/zstw-2014-0009.pdf,,National Licences: unifr,gruyter101515zstw20140009
(NATIONALLICENCE)gruyter-10.1515/iral.1963.1.1.42,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/iral.1963.1.issue-1/iral.1963.1.1.42/iral.1963.1.1.42.pdf,,National Licences: uzh,gruyter101515iral19631142
(NATIONALLICENCE)gruyter-10.1515/BC.2006.044,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bchm.2006.387.issue-3/bc.2006.044/bc.2006.044.pdf,,National Licences: unibas,gruyter101515BC2006044
(NATIONALLICENCE)gruyter-10.1351/pac200577010131,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/pac.2005.77.issue-1/pac200577010131/pac200577010131.pdf,,National Licences: epfl,gruyter101351pac200577010131
(NATIONALLICENCE)gruyter-10.1515/arcadia-2012-0014,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/arca-2012-47-issue-1/arcadia-2012-0014/arcadia-2012-0014.pdf,,National Licences: uzh,gruyter101515arcadia20120014
(NATIONALLICENCE)gruyter-10.12900/rbm14.20.2-0009,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/rbm.2014.20.issue-2/rbm14.20.2-0009/rbm14.20.2-0009.pdf,,National Licences: lib4ri,gruyter1012900rbm142020009
(NATIONALLICENCE)gruyter-10.1515/CCLM.2006.207,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/cclm.2006.44.issue-9/cclm.2006.207/cclm.2006.207.pdf,,National Licences: unige,gruyter101515CCLM2006207
(NATIONALLICENCE)gruyter-10.1515/acv.2011.015,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/acv.2012.5.issue-3/acv.2011.015/acv.2011.015.pdf,,National Licences: ethz,gruyter101515acv2011015
(NATIONALLICENCE)gruyter-10.1515/bmte.1985.30.s1.129,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bmte.1985.30.issue-s1/bmte.1985.30.s1.129/bmte.1985.30.s1.129.pdf,,National Licences: uzh,gruyter101515bmte198530s1129
(NATIONALLICENCE)gruyter-10.1515/bmte.1985.30.s1.211,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bmte.1985.30.issue-s1/bmte.1985.30.s1.211/bmte.1985.30.s1.211.pdf,,National Licences: ethz uzh,gruyter101515bmte198530s1211
(NATIONALLICENCE)gruyter-10.1351/pac200072071337,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/pac.2000.72.issue-7/pac200072071337/pac200072071337.pdf,,National Licences: ethz,gruyter101351pac200072071337
(NATIONALLICENCE)cambridge-10.1017/S0003598X00062335,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0003598X00062335.pdf,,National Licences: unil,cambridge101017S0003598X00062335
(NATIONALLICENCE)cambridge-10.1017/S0003598X00050365,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0003598X00050365.pdf,2019-01-01,National Licences: lib4ri uzh,cambridge101017S0003598X00050365
(NATIONALLICENCE)cambridge-10.15184/aqy.2014.7,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0003598X14000076.pdf,2020-04-01,National Licences: unine,cambridge1015184aqy20147
(NATIONALLICENCE)gruyter-10.1515/hzhz.2013.0458,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/hzhz.2013.297.issue-2/hzhz.2013.0458/hzhz.2013.0458.pdf,,National Licences: uzh,gruyter101515hzhz20130458
(NATIONALLICENCE)gruyter-10.1515/JLM.2005.040,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/labm.2005.29.issue-4/jlm.2005.040/jlm.2005.040.pdf,,National Licences: unibas unibe unil uzh,gruyter101515JLM2005040
(NATIONALLICENCE)gruyter-10.1515/bmte.1994.39.s1.23,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bmte.1994.39.issue-s1/bmte.1994.39.s1.23/bmte.1994.39.s1.23.pdf,,National Licences: unige,gruyter101515bmte199439s123
(NATIONALLICENCE)gruyter-10.1524/ract.2011.1797,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/ract.2011.99.issue-2/ract.2011.1797/ract.2011.1797.pdf,,National Licences: lib4ri,gruyter101524ract20111797
(NATIONALLICENCE)gruyter-10.2202/1469-3569.1091,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bap.2004.6.2/bap.2004.6.2.1091/bap.2004.6.2.1091.pdf,,National Licences: ethz unibe,gruyter102202146935691091
(NATIONALLICENCE)gruyter-10.1515/bap-2014-0040,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bap.2014.16.issue-4/bap-2014-0040/bap-2014-0040.pdf,,National Licences: unisg,gruyter101515bap20140040
(NATIONALLICENCE)gruyter-10.1515/bmte.1995.40.s1.377,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/bmte.1995.40.issue-s1/bmte.1995.40.s1.377/bmte.1995.40.s1.377.pdf,,National Licences: ethz lib4ri,gruyter101515bmte199540s1377
(NATIONALLICENCE)gruyter-10.1524/zpch.1989.163.Part_1.0125,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/zpch.1989.163.issue-part_1/zpch.1989.163.part_1.0125/zpch.1989.163.part_1.0125.pdf,,National Licences: ethz lib4ri uzh,gruyter101524zpch1989163Part_10125
(NATIONALLICENCE)gruyter-10.1515/1569398054308603,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/rnam.2005.20.issue-3/1569398054308603/1569398054308603.pdf,,National Licences: epfl,gruyter1015151569398054308603
(NATIONALLICENCE)gruyter-10.1515/acv-2012-0102,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/acv.2013.6.issue-3/acv-2012-0102/acv-2012-0102.pdf,,National Licences: ethz,gruyter101515acv20120102
(NATIONALLICENCE)gruyter-10.1515/iral-2013-0014,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/iral.2013.51.issue-00004/iral-2013-0014/iral-2013-0014.pdf,,National Licences: unine,gruyter101515iral20130014
(NATIONALLICENCE)gruyter-10.1515/cclm.2011.773,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/cclm.2012.50.issue-2/cclm.2011.773/cclm.2011.773.pdf,,National Licences: unibas,gruyter101515cclm2011773
(NATIONALLICENCE)gruyter-10.1515/rbm-2010-6350,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/rbm.2010.16.issue-1/rbm-2010-6350/rbm-2010-6350.pdf,,National Licences: epfl,gruyter101515rbm20106350
(NATIONALLICENCE)gruyter-10.1515/rbm-1996-5107,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/rbm.1996.2.issue-3/rbm-1996-5107/rbm-1996-5107.pdf,,National Licences: epfl,gruyter101515rbm19965107
(NATIONALLICENCE)gruyter-10.1524/hzhz.2013.0280,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/hzhz.2013.296.issue-3/hzhz.2013.0280/hzhz.2013.0280.pdf,,National Licences: uzh,gruyter101524hzhz20130280
(NATIONALLICENCE)gruyter-10.1515/HUMOR.2007.001,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/humr.2007.20.issue-1/humor.2007.001/humor.2007.001.pdf,,National Licences: unifr,gruyter101515HUMOR2007001
(NATIONALLICENCE)gruyter-10.1515/JPM.2007.032,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/jpme.2007.35.issue-s1/jpm.2007.032/jpm.2007.032.pdf,,National Licences: unibas,gruyter101515JPM2007032
(NATIONALLICENCE)gruyter-10.1515/CCLM.2006.160,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/cclm.2006.44.issue-7/cclm.2006.160/cclm.2006.160.pdf,,National Licences: unige,gruyter101515CCLM2006160
(NATIONALLICENCE)cambridge-10.1079/BJN20061817,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S000711450600198X.pdf,,,cambridge101079BJN20061817
(NATIONALLICENCE)cambridge-10.1017/S0007114507798951,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114507798951.pdf,,National Licences: unibe,cambridge101017S0007114507798951
(NATIONALLICENCE)cambridge-10.1079/BJN2000227,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114501000228.pdf,,,cambridge101079BJN2000227
(NATIONALLICENCE)cambridge-10.1017/S0007114508958025,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114508958025.pdf,,National Licences: unibe,cambridge101017S0007114508958025
(NATIONALLICENCE)cambridge-10.1017/S0007114510004101,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114510004101.pdf,,National Licences: ethz uzh,cambridge101017S0007114510004101
(NATIONALLICENCE)cambridge-10.1017/S0007114514001160,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114514001160.pdf,2019-08-28,National Licences: ethz uzh,cambridge101017S0007114514001160
(NATIONALLICENCE)cambridge-10.1079/BJN20061753,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114506001334.pdf,,,cambridge101079BJN20061753
(NATIONALLICENCE)cambridge-10.1079/BJN19820006,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114582000853.pdf,,National Licences: unil,cambridge101079BJN19820006
(NATIONALLICENCE)cambridge-10.1079/BJN19830043,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0007114583000471.pdf,,,cambridge101079BJN19830043
(NATIONALLICENCE)gruyter-10.1515/arbi.2009.080,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/arbi.2009.27.issue-2/arbi.2009.080/arbi.2009.080.pdf,,National Licences: unibe,gruyter101515arbi2009080
(NATIONALLICENCE)gruyter-10.1515/hf.2011.071,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/hfsg.2011.65.issue-5/hf.2011.071/hf.2011.071.pdf,,National Licences: ethz,gruyter101515hf2011071
(NATIONALLICENCE)gruyter-10.1524/ract.1979.26.34.141,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/ract.1979.26.issue-3-4/ract.1979.26.34.141/ract.1979.26.34.141.pdf,,National Licences: epfl,gruyter101524ract19792634141
(NATIONALLICENCE)gruyter-10.1515/ARBI.2006.170,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/arbi.2006.24.issue-2/arbi.2006.170/arbi.2006.170.pdf,,National Licences: uzh,gruyter101515ARBI2006170
(NATIONALLICENCE)gruyter-10.1515/1468-2516.t01-2-00006,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/pwp.2003.4.issue-2/1468-2516.t01-2-00006/1468-2516.t01-2-00006.pdf,,National Licences: unibas unisg,gruyter10151514682516t01200006
(NATIONALLICENCE)gruyter-10.1515/jpm.2010.052,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/jpme.2010.38.issue-4/jpm.2010.052/jpm.2010.052.pdf,,National Licences: unibas unibe unige,gruyter101515jpm2010052
(NATIONALLICENCE)gruyter-10.1524/srsr.2012.0051,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/srsr.2012.35.issue-4/srsr.2012.0051/srsr.2012.0051.pdf,,National Licences: unil,gruyter101524srsr20120051
(NATIONALLICENCE)gruyter-10.1524/zpch.1973.86.1_2.095,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/zpch.1973.86.issue-1_2/zpch.1973.86.1_2.095/zpch.1973.86.1_2.095.pdf,,National Licences: uzh,gruyter101524zpch1973861_2095
(NATIONALLICENCE)gruyter-10.1515/ARBI.2007.019,/media/lionel/Data/swissbib-data/nationallizenzen/gruyter/swiss-pdf/j/arbi.2007.25.issue-1/arbi.2007.019/arbi.2007.019.pdf,,National Licences: unibe,gruyter101515ARBI2007019
